id,trace_rowid,span_id,parent_id,name,start_time,end_time,events,status_code,status_message,start_time_unix,end_time_unix,log@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@httpx - [_client.py:1786] - INFO,log@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@httpcore.connection - [_trace.py:85] - DEBUG,log@openai._base_client - [_base_client.py:446] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@httpcore.http11 - [_trace.py:85] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@openai._base_client - [_base_client.py:1585] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log_entries,metric@cpu_usage,metric@gpu_graph_clock,duration
1,5473,cb836f7dedaaefda,,query,2024-11-06 15:57:24.536322,2024-11-06 15:57:31.157880,[],OK,,1730908644.536322,1730908651.15788,1,2,4,1,1,1,8,1,1,20,0,1,2,1,1,1,1,1,"['2024-11-06 15:57:24,592 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-06 15:57:24,596 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 15:57:24,601 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,602 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,603 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,604 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,604 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,604 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,604 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,607 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,607 - httpx - [_client.py:1786] - INFO', '2024-11-06 15:57:24,607 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,609 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,609 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,609 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,609 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,610 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,625 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 15:57:24,627 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-06 15:57:24,922 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 15:57:24,923 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-06 15:57:24,923 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-06 15:57:24,926 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-06 15:57:24,927 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,927 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,928 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,928 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,929 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,929 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,929 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,929 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,929 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:27,139 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:27,140 - httpx - [_client.py:1786] - INFO', '2024-11-06 15:57:27,141 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:27,141 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:27,142 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:27,142 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:27,142 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-06 15:57:27,151 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 15:57:27,152 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-06 15:57:29,155 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-11-06 15:57:31,157 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-11-06 15:57:24,994 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-06 15:57:24,996 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-06 15:57:25,532 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-06 15:57:27,118 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-06 15:57:27,140 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,6.621557950973511
2,5473,8655ac780b0089e7,cb836f7dedaaefda,retrieve,2024-11-06 15:57:24.537174,2024-11-06 15:57:24.613620,[],OK,,1730908644.537174,1730908644.61362,1,1,1,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,"['2024-11-06 15:57:24,592 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-06 15:57:24,596 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 15:57:24,601 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,602 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,603 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,604 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,604 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,604 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,604 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,607 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,607 - httpx - [_client.py:1786] - INFO', '2024-11-06 15:57:24,607 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,609 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,609 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,609 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,609 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,610 - httpcore.connection - [_trace.py:85] - DEBUG']",10.2,1740,0.0764460563659668
3,5473,133074a08614fcbb,8655ac780b0089e7,embedding,2024-11-06 15:57:24.537921,2024-11-06 15:57:24.588988,[],OK,,1730908644.537921,1730908644.588988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],10.2,1740,0.05106711387634277
4,5473,371e145fd4afe60f,cb836f7dedaaefda,reranking,2024-11-06 15:57:24.630078,2024-11-06 15:57:24.917926,[],OK,,1730908644.630078,1730908644.917926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],10.2,1740,0.28784799575805664
5,5473,9fd52f2815997149,cb836f7dedaaefda,llm,2024-11-06 15:57:24.924093,2024-11-06 15:57:27.144583,[],OK,,1730908644.924093,1730908647.144583,0,1,0,0,0,0,4,1,0,10,0,1,0,1,1,1,1,1,"['2024-11-06 15:57:24,926 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-06 15:57:24,927 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,927 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,928 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,928 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,929 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,929 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,929 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,929 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:24,929 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:27,139 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:27,140 - httpx - [_client.py:1786] - INFO', '2024-11-06 15:57:27,141 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:27,141 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:27,142 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:27,142 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:27,142 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-06 15:57:24,994 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-06 15:57:24,996 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-06 15:57:25,532 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-06 15:57:27,118 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-06 15:57:27,140 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,2.220489978790283
6,5473,596888410df5d972,9fd52f2815997149,llm_request,2024-11-06 15:57:24.993986,2024-11-06 15:57:27.118076,[],OK,,1730908644.993986,1730908647.118076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.0,0,2.1240901947021484
7,5473,8be36dd8479b2b2f,596888410df5d972,llm_scheduler,2024-11-06 23:57:25.015816,2024-11-06 23:57:25.037645,[],OK,,1730908645.0158155,1730908645.037645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],46.0,1740,0.021829605102539062
8,5473,1f2ca807d1d38de1,596888410df5d972,llm_generate,2024-11-06 23:57:25.513986,2024-11-06 23:57:27.091527,[],OK,,1730908645.513986,1730908647.0915267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],46.0,1740,1.577540636062622
9,5474,0ca48d3f89c60f01,,query,2024-11-06 15:57:31.172867,2024-11-06 15:57:36.544014,[],OK,,1730908651.172867,1730908656.544014,0,2,4,1,1,1,4,1,1,20,0,1,2,1,1,1,1,1,"['2024-11-06 15:57:31,224 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 15:57:31,229 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,230 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,231 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,231 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,231 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,232 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,232 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,234 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,234 - httpx - [_client.py:1786] - INFO', '2024-11-06 15:57:31,235 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,237 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,237 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,237 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,238 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,238 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,252 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 15:57:31,255 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-06 15:57:31,559 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 15:57:31,559 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-06 15:57:31,560 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-06 15:57:31,563 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-06 15:57:31,564 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,565 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,565 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,565 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,565 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:32,530 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:32,530 - httpx - [_client.py:1786] - INFO', '2024-11-06 15:57:32,531 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:32,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:32,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:32,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:32,532 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-06 15:57:32,538 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 15:57:32,538 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-06 15:57:34,541 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-11-06 15:57:36,543 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-11-06 15:57:31,636 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-06 15:57:31,638 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-06 15:57:32,226 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-06 15:57:32,510 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-06 15:57:32,531 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,5.37114691734314
10,5474,22102ff70f0cbb0e,0ca48d3f89c60f01,retrieve,2024-11-06 15:57:31.173834,2024-11-06 15:57:31.245306,[],OK,,1730908651.173834,1730908651.245306,0,1,1,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,"['2024-11-06 15:57:31,224 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 15:57:31,229 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,230 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,231 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,231 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,231 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,232 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,232 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,234 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,234 - httpx - [_client.py:1786] - INFO', '2024-11-06 15:57:31,235 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,237 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,237 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,237 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,238 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 15:57:31,238 - httpcore.connection - [_trace.py:85] - DEBUG']",11.2,1740,0.0714719295501709
