id,trace_rowid,span_id,parent_id,name,start_time,end_time,events,status_code,status_message,start_time_unix,end_time_unix,log@httpcore.connection - [_trace.py:85] - DEBUG,log@httpx - [_client.py:1786] - INFO,log@openai._base_client - [_base_client.py:446] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@openai._base_client - [_base_client.py:1585] - DEBUG,log@httpcore.http11 - [_trace.py:85] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log_entries,metric@cpu_usage,metric@gpu_graph_clock,duration
1,1331,c2f9a429689774d5,,query,2024-10-31 04:48:27.246984,2024-10-31 04:48:29.652165,[],OK,,1730350107.246984,1730350109.652165,8,2,1,1,1,20,1,1,4,1,0,1,1,1,1,1,1,"['2024-10-31 04:48:27,304 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-10-31 04:48:27,308 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 04:48:27,313 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,314 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,314 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,315 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,315 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,315 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,315 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,318 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,319 - httpx - [_client.py:1786] - INFO', '2024-10-31 04:48:27,319 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,321 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,321 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,321 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,322 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,322 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:28,338 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 04:48:28,342 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-10-31 04:48:28,751 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 04:48:28,752 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-10-31 04:48:28,752 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-10-31 04:48:28,756 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-31 04:48:28,757 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:28,757 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:28,757 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:28,758 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:28,758 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:28,758 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:28,758 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:28,759 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:28,759 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:29,639 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:29,640 - httpx - [_client.py:1786] - INFO', '2024-10-31 04:48:29,640 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:29,641 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:29,641 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:29,642 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:29,642 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-31 04:48:29,650 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 04:48:29,651 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-10-31 04:48:28,819 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-31 04:48:28,821 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-31 04:48:29,272 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-10-31 04:48:29,617 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-31 04:48:29,640 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0.0,2.4051809310913086
2,1331,c8a5b3df7b45b93d,c2f9a429689774d5,retrieve,2024-10-31 04:48:27.247833,2024-10-31 04:48:28.329492,[],OK,,1730350107.247833,1730350108.329492,4,1,0,0,0,10,0,0,1,0,0,1,0,0,0,0,0,"['2024-10-31 04:48:27,304 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-10-31 04:48:27,308 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 04:48:27,313 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,314 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,314 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,315 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,315 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,315 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,315 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,318 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,319 - httpx - [_client.py:1786] - INFO', '2024-10-31 04:48:27,319 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,321 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,321 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,321 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,322 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:27,322 - httpcore.connection - [_trace.py:85] - DEBUG']",25.6,1005.0,1.0816590785980225
3,1331,04a6fb9dc361dd00,c8a5b3df7b45b93d,embedding,2024-10-31 04:48:27.248610,2024-10-31 04:48:27.299262,[],OK,,1730350107.24861,1730350107.299262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],25.6,1005.0,0.05065202713012695
4,1331,141e8faaa0dd4fe9,c2f9a429689774d5,reranking,2024-10-31 04:48:28.351115,2024-10-31 04:48:28.746641,[],OK,,1730350108.351115,1730350108.746641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],25.6,1005.0,0.3955259323120117
5,1331,a0aa6c352d6e73ca,c2f9a429689774d5,llm,2024-10-31 04:48:28.752779,2024-10-31 04:48:29.644393,[],OK,,1730350108.752779,1730350109.644393,4,1,1,0,1,10,0,0,0,0,0,0,1,1,1,1,1,"['2024-10-31 04:48:28,756 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-31 04:48:28,757 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:28,757 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:28,757 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:28,758 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:28,758 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:28,758 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:28,758 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:28,759 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:28,759 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:29,639 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:29,640 - httpx - [_client.py:1786] - INFO', '2024-10-31 04:48:29,640 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:29,641 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:29,641 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:29,642 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:29,642 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-31 04:48:28,819 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-31 04:48:28,821 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-31 04:48:29,272 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-10-31 04:48:29,617 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-31 04:48:29,640 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0.0,0.8916139602661133
6,1331,6f51ea78fea2a33a,a0aa6c352d6e73ca,llm_request,2024-10-31 04:48:28.819157,2024-10-31 04:48:29.616810,[],OK,,1730350108.819157,1730350109.61681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.0,0.0,0.7976531982421875
7,1331,37618123ee68784c,6f51ea78fea2a33a,llm_scheduler,2024-10-31 12:48:28.838831,2024-10-31 12:48:28.858505,[],OK,,1730350108.8388312,1730350108.8585055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],23.6,1005.0,0.019674301147460938
8,1331,b36432704488c988,6f51ea78fea2a33a,llm_generate,2024-10-31 12:48:29.254178,2024-10-31 12:48:29.588196,[],OK,,1730350109.2541783,1730350109.5881956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],23.6,1005.0,0.334017276763916
9,1335,1d2db53fd4370663,,query,2024-10-31 04:48:36.696769,2024-10-31 04:48:40.356041,[],OK,,1730350116.696769,1730350120.356041,4,2,1,1,1,20,1,1,4,1,0,0,1,1,1,1,1,"['2024-10-31 04:48:36,755 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 04:48:36,758 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,760 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,760 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,761 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,761 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,761 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,761 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,763 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,764 - httpx - [_client.py:1786] - INFO', '2024-10-31 04:48:36,764 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,765 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,766 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,766 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,766 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,766 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:37,782 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 04:48:37,785 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-10-31 04:48:38,176 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 04:48:38,177 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-10-31 04:48:38,177 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-10-31 04:48:38,181 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-31 04:48:38,182 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:38,182 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:38,182 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:38,182 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:38,182 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:40,343 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:40,344 - httpx - [_client.py:1786] - INFO', '2024-10-31 04:48:40,345 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:40,345 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:40,346 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:40,346 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:40,346 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-31 04:48:40,355 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 04:48:40,355 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-10-31 04:48:38,242 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-31 04:48:38,245 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-31 04:48:39,321 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-10-31 04:48:40,321 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-31 04:48:40,344 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0.0,3.6592719554901123
10,1335,8a6767fe56fae3df,1d2db53fd4370663,retrieve,2024-10-31 04:48:36.697682,2024-10-31 04:48:37.773267,[],OK,,1730350116.697682,1730350117.773267,4,1,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,"['2024-10-31 04:48:36,755 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 04:48:36,758 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,760 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,760 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,761 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,761 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,761 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,761 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,763 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,764 - httpx - [_client.py:1786] - INFO', '2024-10-31 04:48:36,764 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,765 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,766 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,766 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,766 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 04:48:36,766 - httpcore.connection - [_trace.py:85] - DEBUG']",21.2,1005.0,1.075585126876831
