id,trace_rowid,span_id,parent_id,name,start_time,end_time,events,status_code,status_message,start_time_unix,end_time_unix,log@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@httpx - [_client.py:1786] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@openai._base_client - [_base_client.py:1585] - DEBUG,log@openai._base_client - [_base_client.py:446] - DEBUG,log@opentelemetry.sdk.trace.export - [__init__.py:116] - ERROR,log@urllib3.connectionpool - [connectionpool.py:243] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@httpcore.connection - [_trace.py:85] - DEBUG,log@httpcore.http11 - [_trace.py:85] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm.engine.metrics - [metrics.py:295] - INFO,log_entries,metric@cpu_usage,metric@gpu_graph_clock,duration
1,310,6d5ff5e66be78b4f,,query,2024-11-04 14:36:15.395035,2024-11-04 14:36:26.038795,[],OK,,1730730975.395035,1730730986.038795,1,0,1,2,1,1,1,0,0,1,8,20,2,4,1,1,1,1,2,"['2024-11-04 14:36:16,534 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-04 14:36:16,632 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 14:36:16,636 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,833 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,833 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,834 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,834 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,835 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,835 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,838 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,931 - httpx - [_client.py:1786] - INFO', '2024-11-04 14:36:16,932 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,933 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,934 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,934 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,934 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,934 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:17,232 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 14:36:17,234 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-04 14:36:23,233 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-04 14:36:23,237 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 14:36:23,238 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-04 14:36:23,331 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-04 14:36:23,433 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-04 14:36:23,435 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:23,435 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:23,435 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:23,531 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:23,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:23,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:23,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:23,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:23,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:26,018 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:26,019 - httpx - [_client.py:1786] - INFO', '2024-11-04 14:36:26,019 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:26,020 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:26,020 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:26,021 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:26,021 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-04 14:36:26,037 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 14:36:26,038 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-04 14:36:16,173 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-04 14:36:23,601 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-04 14:36:23,604 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-04 14:36:24,367 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-04 14:36:25,997 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-04 14:36:26,019 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,10.643759965896606
2,310,1c4ccaae65dd4e20,6d5ff5e66be78b4f,retrieve,2024-11-04 14:36:15.395869,2024-11-04 14:36:17.035899,[],OK,,1730730975.395869,1730730977.035899,0,0,0,1,0,0,0,0,0,0,4,10,1,1,0,0,0,0,1,"['2024-11-04 14:36:16,534 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-04 14:36:16,632 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 14:36:16,636 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,833 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,833 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,834 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,834 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,835 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,835 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,838 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,931 - httpx - [_client.py:1786] - INFO', '2024-11-04 14:36:16,932 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,933 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,934 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,934 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,934 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,934 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:16,173 - vllm.engine.metrics - [metrics.py:295] - INFO']",3.6,1005,1.6400299072265625
3,310,cce04b9e8712a1ae,1c4ccaae65dd4e20,embedding,2024-11-04 14:36:15.396643,2024-11-04 14:36:16.436421,[],OK,,1730730975.396643,1730730976.436421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],3.6,1005,1.0397779941558838
4,310,0a2d6e1bfc25a327,6d5ff5e66be78b4f,reranking,2024-11-04 14:36:17.237768,2024-11-04 14:36:23.132262,[],OK,,1730730977.237768,1730730983.132262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],3.6,1005,5.89449405670166
5,310,7bc55eae0b2adbf6,6d5ff5e66be78b4f,llm,2024-11-04 14:36:23.332956,2024-11-04 14:36:26.023395,[],OK,,1730730983.332956,1730730986.023395,0,0,0,1,0,1,1,0,0,0,4,10,0,0,1,1,1,1,1,"['2024-11-04 14:36:23,433 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-04 14:36:23,435 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:23,435 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:23,435 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:23,531 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:23,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:23,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:23,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:23,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:23,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:26,018 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:26,019 - httpx - [_client.py:1786] - INFO', '2024-11-04 14:36:26,019 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:26,020 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:26,020 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:26,021 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:26,021 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-04 14:36:23,601 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-04 14:36:23,604 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-04 14:36:24,367 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-04 14:36:25,997 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-04 14:36:26,019 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,2.690438985824585
6,310,17fd3736b7ef941c,7bc55eae0b2adbf6,llm_request,2024-11-04 14:36:23.601784,2024-11-04 14:36:25.996682,[],OK,,1730730983.601784,1730730985.996682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.0,0,2.394897937774658
7,310,bafe7267b5108c42,17fd3736b7ef941c,llm_scheduler,2024-11-04 22:36:23.623622,2024-11-04 22:36:23.645460,[],OK,,1730730983.623622,1730730983.64546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],23.8,1005,0.021837949752807617
8,310,9fa31f9cf25f47e8,17fd3736b7ef941c,llm_generate,2024-11-04 22:36:24.348823,2024-11-04 22:36:25.969952,[],OK,,1730730984.3488233,1730730985.9699523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],23.8,1005,1.621129035949707
9,311,3e8a18adc3185893,,query,2024-11-04 14:36:26.233480,2024-11-04 14:36:34.739429,[],OK,,1730730986.23348,1730730994.739429,1,0,1,2,1,1,1,0,0,1,8,20,0,4,1,1,1,1,1,"['2024-11-04 14:36:27,438 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 14:36:27,535 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,632 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,632 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,632 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,633 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,633 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,633 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,636 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,636 - httpx - [_client.py:1786] - INFO', '2024-11-04 14:36:27,636 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,639 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,639 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,731 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,732 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,732 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,933 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 14:36:27,935 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-04 14:36:32,931 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 14:36:32,932 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-04 14:36:32,933 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-04 14:36:32,937 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-04 14:36:32,940 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:33,031 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:33,032 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:33,033 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:33,034 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:33,035 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:33,035 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:33,035 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:33,035 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:34,673 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:34,674 - httpx - [_client.py:1786] - INFO', '2024-11-04 14:36:34,674 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:34,675 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:34,675 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:34,675 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:34,676 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-04 14:36:34,738 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 14:36:34,739 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-04 14:36:33,103 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-04 14:36:33,105 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-04 14:36:34,362 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-04 14:36:34,652 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-04 14:36:34,673 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,8.505949020385742
10,311,4e25abfdae14f927,3e8a18adc3185893,retrieve,2024-11-04 14:36:26.234232,2024-11-04 14:36:27.833368,[],OK,,1730730986.234232,1730730987.833368,0,0,0,1,0,0,0,0,0,0,4,10,0,1,0,0,0,0,0,"['2024-11-04 14:36:27,438 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 14:36:27,535 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,632 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,632 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,632 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,633 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,633 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,633 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,636 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,636 - httpx - [_client.py:1786] - INFO', '2024-11-04 14:36:27,636 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,639 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,639 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,731 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,732 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 14:36:27,732 - httpcore.connection - [_trace.py:85] - DEBUG']",4.0,1005,1.5991361141204834
