id,trace_rowid,span_id,parent_id,name,start_time,end_time,events,status_code,status_message,start_time_unix,end_time_unix,log@openai._base_client - [_base_client.py:1585] - DEBUG,log@httpcore.connection - [_trace.py:85] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO,log@httpx - [_client.py:1786] - INFO,log@httpcore.http11 - [_trace.py:85] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@openai._base_client - [_base_client.py:446] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log_entries,metric@cpu_usage,metric@gpu_graph_clock,duration
1,1046,b341659970bad5f4,,query,2024-10-31 02:20:50.712951,2024-10-31 02:21:01.213452,[],OK,,1730341250.712951,1730341261.213452,1,8,4,2,20,4,1,1,1,0,1,1,1,1,1,1,1,1,"['2024-10-31 02:20:50,772 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-10-31 02:20:50,776 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:20:50,783 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,784 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,785 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,785 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,785 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,786 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,786 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,789 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,790 - httpx - [_client.py:1786] - INFO', '2024-10-31 02:20:50,790 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,791 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,792 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,792 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,792 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,792 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:20:51,809 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:20:51,813 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-10-31 02:20:52,204 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:20:52,205 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-10-31 02:20:52,205 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-10-31 02:20:52,208 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-31 02:20:52,209 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:20:52,209 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:20:52,209 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:20:52,210 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:20:52,210 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:52,211 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:52,211 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:52,211 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:52,211 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:53,194 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:53,195 - httpx - [_client.py:1786] - INFO', '2024-10-31 02:20:53,195 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:53,196 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:53,196 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:53,196 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:53,196 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-31 02:20:53,203 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:20:53,204 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-10-31 02:20:55,206 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-10-31 02:20:57,208 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-10-31 02:20:59,210 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-10-31 02:21:01,213 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-10-31 02:20:52,271 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-31 02:20:52,274 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-31 02:20:53,172 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-31 02:20:53,195 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG', '2024-10-31 02:21:00,726 - vllm.engine.metrics - [metrics.py:295] - INFO']",0.0,0,10.500501155853271
2,1046,cf61fd2f4c311307,b341659970bad5f4,retrieve,2024-10-31 02:20:50.713821,2024-10-31 02:20:51.800348,[],OK,,1730341250.713821,1730341251.800348,0,4,0,1,10,1,0,0,1,0,0,0,0,0,0,0,0,0,"['2024-10-31 02:20:50,772 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-10-31 02:20:50,776 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:20:50,783 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,784 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,785 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,785 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,785 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,786 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,786 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,789 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,790 - httpx - [_client.py:1786] - INFO', '2024-10-31 02:20:50,790 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,791 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,792 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,792 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,792 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:20:50,792 - httpcore.connection - [_trace.py:85] - DEBUG']",12.2,1005,1.0865271091461182
3,1046,4355fbc0317f0fc7,cf61fd2f4c311307,embedding,2024-10-31 02:20:50.714608,2024-10-31 02:20:50.769836,[],OK,,1730341250.714608,1730341250.769836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],12.2,1005,0.05522799491882324
4,1046,9d1ebfb5a0aaaa16,b341659970bad5f4,reranking,2024-10-31 02:20:51.818831,2024-10-31 02:20:52.200042,[],OK,,1730341251.818831,1730341252.200042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],12.2,1005,0.3812110424041748
5,1046,1f176273b89c2040,b341659970bad5f4,llm,2024-10-31 02:20:52.206416,2024-10-31 02:20:53.197524,[],OK,,1730341252.206416,1730341253.197524,1,4,0,1,10,0,0,0,0,0,0,0,1,1,1,0,1,1,"['2024-10-31 02:20:52,208 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-31 02:20:52,209 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:20:52,209 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:20:52,209 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:20:52,210 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:20:52,210 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:52,211 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:52,211 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:52,211 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:52,211 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:53,194 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:53,195 - httpx - [_client.py:1786] - INFO', '2024-10-31 02:20:53,195 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:53,196 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:53,196 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:53,196 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:20:53,196 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-31 02:20:52,271 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-31 02:20:52,274 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-31 02:20:53,172 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-31 02:20:53,195 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,0.9911081790924072
6,1046,7fc46c69ea0693e9,1f176273b89c2040,llm_request,2024-10-31 02:20:52.271714,2024-10-31 02:20:53.171444,[],OK,,1730341252.271714,1730341253.171444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.0,0,0.8997299671173096
7,1046,9cfc0ec06b713a6f,7fc46c69ea0693e9,llm_scheduler,2024-10-31 10:20:52.292238,2024-10-31 10:20:52.312762,[],OK,,1730341252.2922382,1730341252.3127625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],21.4,1005,0.020524263381958008
8,1046,f4f1f935c56b1aa6,7fc46c69ea0693e9,llm_generate,2024-10-31 10:20:52.789068,2024-10-31 10:20:53.142253,[],OK,,1730341252.7890682,1730341253.1422527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],21.4,1005,0.35318446159362793
9,1047,617c95e521de55d0,,query,2024-10-31 02:21:01.229548,2024-10-31 02:21:11.727620,[],OK,,1730341261.229548,1730341271.72762,1,8,4,2,20,4,1,1,0,0,1,1,1,1,1,1,1,1,"['2024-10-31 02:21:01,288 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:21:01,293 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,295 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,295 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,296 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,296 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,297 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,297 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,299 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,300 - httpx - [_client.py:1786] - INFO', '2024-10-31 02:21:01,300 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,303 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,303 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,303 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,304 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,304 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:21:02,322 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:21:02,327 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-10-31 02:21:02,717 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:21:02,718 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-10-31 02:21:02,718 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-10-31 02:21:02,724 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-31 02:21:02,725 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:21:02,725 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:21:02,726 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:21:02,727 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:21:02,727 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:02,727 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:02,727 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:02,727 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:02,727 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:03,704 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:03,705 - httpx - [_client.py:1786] - INFO', '2024-10-31 02:21:03,706 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:03,706 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:03,707 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:03,707 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:03,707 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-31 02:21:03,716 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:21:03,717 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-10-31 02:21:05,719 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-10-31 02:21:07,722 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-10-31 02:21:09,724 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-10-31 02:21:11,727 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-10-31 02:21:02,785 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-31 02:21:02,787 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-31 02:21:03,682 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-31 02:21:03,705 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG', '2024-10-31 02:21:10,744 - vllm.engine.metrics - [metrics.py:295] - INFO']",0.0,0,10.498071908950806
10,1047,d0f55c4813b67265,617c95e521de55d0,retrieve,2024-10-31 02:21:01.230381,2024-10-31 02:21:02.312858,[],OK,,1730341261.230381,1730341262.312858,0,4,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,"['2024-10-31 02:21:01,288 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:21:01,293 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,295 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,295 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,296 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,296 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,297 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,297 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,299 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,300 - httpx - [_client.py:1786] - INFO', '2024-10-31 02:21:01,300 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,303 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,303 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,303 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,304 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:21:01,304 - httpcore.connection - [_trace.py:85] - DEBUG']",12.4,1005,1.08247709274292
