trace_rowid,query>duration,retrieve>duration,embedding>duration,reranking>duration,llm>duration,llm_request>duration,llm_scheduler>duration,llm_generate>duration,trace@query@llm_token_count_completion,trace@query@llm_token_count_prompt,trace@query@llm_token_count_total,trace@retrieve@retrieve_num,trace@embedding@embedding_model_name,trace@embedding@embedding_vector,trace@reranking@rerank_model_name,trace@reranking@top_k,trace@llm_request@llm_model_name,trace@llm_request@parameters_best_of,trace@llm_request@parameters_max_tokens,trace@llm_request@parameters_n,trace@llm_request@parameters_temperature,trace@llm_request@parameters_top_p,log@rag@httpcore.http11 - [_trace.py:85] - DEBUG,log@rag@openai._base_client - [_base_client.py:1585] - DEBUG,log@rag@httpx - [_client.py:1786] - INFO,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@rag@httpcore.connection - [_trace.py:85] - DEBUG,log@rag@openai._base_client - [_base_client.py:446] - DEBUG,log@rag@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@rag@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,metric@qdrant@cpu_usage_percent,metric@qdrant@mem_rss,metric@qdrant@mem_vms,metric@qdrant@mem_memory_percent,metric@qdrant@disk_read_bytes,metric@qdrant@disk_write_bytes,metric@qdrant@disk_read_count,metric@qdrant@disk_write_count,metric@rag@cpu_usage_percent,metric@rag@mem_rss,metric@rag@mem_vms,metric@rag@mem_memory_percent,metric@rag@disk_read_bytes,metric@rag@disk_write_bytes,metric@rag@disk_read_count,metric@rag@disk_write_count,metric@rag@gpu_3_gpu_utilization_percent,metric@rag@gpu_3_gpu_memory_used_MB,metric@rag@gpu_3_gpu_memory_total_MB,metric@rag@gpu_3_gpu_memory_process_used_MB,metric@rag@gpu_3_gpu_temperature_C,metric@rag@gpu_3_gpu_power_W,metric@rag@gpu_3_gpu_sm_activity_percent,metric@rag@gpu_3_gpu_graph_clock,metric@rag@gpu_4_gpu_utilization_percent,metric@rag@gpu_4_gpu_memory_used_MB,metric@rag@gpu_4_gpu_memory_total_MB,metric@rag@gpu_4_gpu_memory_process_used_MB,metric@rag@gpu_4_gpu_temperature_C,metric@rag@gpu_4_gpu_power_W,metric@rag@gpu_4_gpu_sm_activity_percent,metric@rag@gpu_4_gpu_graph_clock,metric@vllm@cpu_usage_percent,metric@vllm@mem_rss,metric@vllm@mem_vms,metric@vllm@mem_memory_percent,metric@vllm@disk_read_bytes,metric@vllm@disk_write_bytes,metric@vllm@disk_read_count,metric@vllm@disk_write_count,metric@vllm@gpu_5_gpu_utilization_percent,metric@vllm@gpu_5_gpu_memory_used_MB,metric@vllm@gpu_5_gpu_memory_total_MB,metric@vllm@gpu_5_gpu_memory_process_used_MB,metric@vllm@gpu_5_gpu_temperature_C,metric@vllm@gpu_5_gpu_power_W,metric@vllm@gpu_5_gpu_sm_activity_percent,metric@vllm@gpu_5_gpu_graph_clock,quality@record@quality_kb,quality@record@quality_prompt,quality@answer_correctness,trace@query@input_value_sum,trace@query@output_value_sum,trace@retrieve@documents_contents_sum,trace@retrieve@documents_scores_top3mean,trace@reranking@output_documents_contents_sum,trace@reranking@output_documents_scores_top3mean
5476,5.704692840576172,0.0850059986114502,0.0522639751434326,0.2883548736572265,0.967897891998291,0.8724429607391357,0.0220205783843994,0.3436989784240722,5.0,3367.0,3372.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,4,1,0,1,4,1,1,2,1,1,1,1,1,0.0,11459514368.0,134785622016.0,12.6,76013290496.0,10444637184.0,715980.0,217615.0,11.0,1814122496.0,47465271296.0,1.3459317610187316,0.0,13180928.0,21033.0,10462.0,0.0,2299.1875,46068.0,1626.0,41.0,79.07,0.0,1740.0,0.0,3617.1875,46068.0,2944.0,39.0,77.939,0.0,1740.0,20.4,5872996352.0,68914384896.0,4.357286974795304,1884160.0,713437184.0,15044.0,2768107.0,0.0,41457.1875,46068.0,40776.0,44.0,82.563,0.0,1740.0,0,0,1.0,14,2,5916,0.7679070233333333,1909,0.9987507065137228
5477,5.457957983016968,0.0800960063934326,0.0525379180908203,0.2916889190673828,1.053429126739502,0.9583110809326172,0.022357702255249,0.4132304191589355,6.0,3545.0,3551.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,4,1,0,1,4,1,1,2,1,1,1,1,1,0.0,11490586624.0,134785622016.0,12.6,76013290496.0,10449851392.0,715980.0,217678.0,11.4,1814122496.0,47465271296.0,1.3459317610187316,0.0,13307904.0,21043.0,10555.0,0.0,2299.1875,46068.0,1626.0,41.0,78.888,0.0,1740.0,0.0,3617.1875,46068.0,2944.0,39.0,77.547,0.0,1740.0,22.6,5873520640.0,68914384896.0,4.357675953969906,1884160.0,715763712.0,15053.0,2777122.0,0.0,41457.1875,46068.0,40776.0,44.0,83.331,0.0,1740.0,0,0,0.658248290463863,8,3,6480,0.65477401,1937,0.7411788602670034
5478,5.404200077056885,0.0927388668060302,0.0498538017272949,0.2899768352508545,0.9843668937683104,0.8908569812774658,0.021782636642456,0.4131786823272705,6.0,3055.0,3061.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,4,1,0,1,4,1,1,2,1,1,1,1,1,0.0,11424563200.0,134785622016.0,12.5,76013290496.0,10455188480.0,715980.0,217815.0,11.0,1814122496.0,47465271296.0,1.3459317610187316,0.0,13438976.0,21052.0,10648.0,0.0,2299.1875,46068.0,1626.0,41.0,80.863,0.0,1740.0,0.0,3617.1875,46068.0,2944.0,40.0,98.616,0.0,1740.0,20.8,5873520640.0,68914384896.0,4.357675953969906,1884160.0,718000128.0,15062.0,2785767.0,0.0,41457.1875,46068.0,40776.0,44.0,123.294,0.0,1740.0,0,0,1.0,5,3,6716,0.6868497466666668,1681,0.994702418645223
5479,6.443284034729004,0.0757150650024414,0.0501370429992675,0.2896239757537842,2.0007050037384038,1.9098060131073,0.0208451747894287,1.5064656734466553,21.0,2556.0,2577.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,4,1,0,1,4,1,1,2,1,1,1,1,1,0.0,11499524096.0,134785622016.0,12.6,76013290496.0,10463077376.0,715980.0,217960.0,10.2,1814122496.0,47465271296.0,1.3459317610187316,0.0,13541376.0,21059.0,10723.0,0.0,2299.1875,46068.0,1626.0,41.0,78.879,0.0,1740.0,0.0,3617.1875,46068.0,2944.0,40.0,99.185,0.0,1740.0,35.0,5873520640.0,68914384896.0,4.357675953969906,1884160.0,722259968.0,15082.0,2802482.0,44.0,41457.1875,46068.0,40776.0,47.0,140.723,44.0,1740.0,0,0,0.2659075191683887,8,13,5661,0.7937960666666667,1155,0.9988147219022115
5482,6.814639091491699,0.0750288963317871,0.0499129295349121,0.2839059829711914,2.425289869308472,2.337514877319336,0.0293221473693847,1.887831449508667,30.0,2883.0,2913.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,4,1,0,1,4,1,1,2,1,1,1,1,1,0.0,11626405888.0,134785622016.0,12.7,76013290496.0,10490373120.0,715980.0,218438.0,10.0,1814122496.0,47465271296.0,1.3459317610187316,0.0,13893632.0,21090.0,11020.0,0.0,2299.1875,46068.0,1626.0,41.0,78.694,0.0,1740.0,0.0,3617.1875,46068.0,2944.0,40.0,77.72,0.0,1740.0,50.5,5873520640.0,68914384896.0,4.357675953969906,1884160.0,739774464.0,15154.0,2871115.0,0.0,41457.1875,46068.0,40776.0,45.0,83.3,0.0,1740.0,0,0,0.2528190546508173,9,22,4912,0.6136939666666666,1430,0.2693173308313514
5483,6.32193398475647,0.078035831451416,0.0497608184814453,0.2871091365814209,1.920989990234375,1.823514938354492,0.0228569507598876,1.2524447441101074,17.0,3684.0,3701.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,4,1,0,1,4,1,1,2,1,1,1,1,1,0.0,11642564608.0,134785622016.0,12.7,76013290496.0,10490655744.0,715980.0,218481.0,10.6,1814122496.0,47465271296.0,1.3459317610187316,0.0,14020608.0,21100.0,11113.0,0.0,2299.1875,46068.0,1626.0,41.0,79.144,0.0,1740.0,0.0,3617.1875,46068.0,2944.0,40.0,77.695,0.0,1740.0,40.0,5873520640.0,68914384896.0,4.357675953969906,1884160.0,744525824.0,15174.0,2889669.0,0.0,41457.1875,46068.0,40776.0,46.0,102.143,0.0,1740.0,0,0,0.3152352563430426,8,10,6023,0.7574834333333333,2074,0.9998785456021627
5485,7.596719980239868,0.0787301063537597,0.0504438877105712,0.2873132228851318,3.1986889839172363,3.1017889976501465,0.0221319198608398,2.551125288009644,34.0,3504.0,3538.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,4,1,0,1,4,1,1,2,1,1,1,1,1,0.0,11616716800.0,134785622016.0,12.7,76013290496.0,10514560000.0,715980.0,218851.0,5.7,1811709952.0,47465271296.0,1.344141849035602,0.0,14262272.0,21118.0,11291.0,0.0,2299.1875,46068.0,1626.0,41.0,80.344,0.0,1740.0,4.5,3617.1875,46068.0,2944.0,40.5,101.2555,4.5,1732.5,32.05,5873520640.0,68914384896.0,4.357675953969906,1884160.0,755034112.0,15219.0,2930831.0,0.0,41457.1875,46068.0,40776.0,48.5,94.8265,0.0,1620.0,0,0,0.1916383190435099,8,24,6825,0.7414601333333333,2019,0.9970691998799642
5486,5.419918060302734,0.0793769359588623,0.0524361133575439,0.2909438610076904,1.0190479755401611,0.9209480285644532,0.020637035369873,0.4217257499694824,6.0,3088.0,3094.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,4,1,0,1,4,1,1,2,1,1,1,1,1,0.0,11690201088.0,134785622016.0,12.7,76013290496.0,10523264000.0,715980.0,218964.0,10.6,1811709952.0,47465271296.0,1.344141849035602,0.0,14372864.0,21129.0,11394.0,0.0,2299.1875,46068.0,1626.0,41.0,78.84,0.0,1740.0,0.0,3617.1875,46068.0,2944.0,40.0,77.72,0.0,1740.0,21.8,5873520640.0,68914384896.0,4.357675953969906,1884160.0,761368576.0,15245.0,2955670.0,0.0,41457.1875,46068.0,40776.0,46.0,84.106,0.0,1740.0,0,0,1.0,14,3,5547,0.76441243,1495,0.6685655871406198
5487,6.057662963867188,0.0354599952697753,0.0201799869537353,0.2772610187530517,1.347442865371704,1.2348039150238037,0.021909475326538,0.6553797721862793,9.0,3671.0,3680.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,4,1,0,1,4,1,1,2,1,1,1,1,1,0.0,11768279040.0,134785622016.0,12.8,76013290496.0,10528723968.0,715980.0,219081.0,9.0,1811709952.0,47465271296.0,1.344141849035602,0.0,14487552.0,21139.0,11485.0,0.0,2299.1875,46068.0,1626.0,41.0,78.743,0.0,1740.0,0.0,3617.1875,46068.0,2944.0,40.0,77.72,0.0,1740.0,28.4,5873520640.0,68914384896.0,4.357675953969906,1884160.0,764375040.0,15257.0,2967370.0,0.0,41457.1875,46068.0,40776.0,46.0,84.239,0.0,1740.0,0,0,0.7415816237971964,11,3,5018,0.6210781833333333,1927,0.4954645981391271
5488,6.207256078720093,0.0301759243011474,0.0153491497039794,0.27764892578125,1.873003005981445,1.7766740322113037,0.0218808650970459,1.2621862888336182,17.0,3294.0,3311.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,4,1,0,1,4,1,1,2,1,1,1,1,1,0.0,11564474368.0,134785622016.0,12.6,76013290496.0,10538931200.0,715980.0,219298.0,9.0,1811709952.0,47465271296.0,1.344141849035602,0.0,14606336.0,21149.0,11578.0,0.0,2299.1875,46068.0,1626.0,41.0,78.897,0.0,1740.0,0.0,3617.1875,46068.0,2944.0,40.0,77.9,0.0,1740.0,38.8,5873520640.0,68914384896.0,4.357675953969906,1884160.0,769093632.0,15277.0,2985824.0,0.0,41457.1875,46068.0,40776.0,46.0,110.193,0.0,1740.0,0,0,0.3236067977499789,14,10,5542,0.6745795166666667,1734,0.6684332991329333
